,Depth-averaged uncertainty,Longitude,Latitude,time
0,0.0,6.538035847317294,62.478647787639154,2024-05-03
1,0.0,6.436977870974229,62.47085296835172,2024-05-03
2,0.0,6.425978610659186,62.46927556894318,2024-05-03
3,0.0,6.425239141999903,62.46951280819661,2024-05-03
4,0.0,6.4272922804851,62.469218681334006,2024-05-03
5,0.0,6.426736095953786,62.4694143538296,2024-05-03
6,0.0,6.4279270961364885,62.469239786225955,2024-05-03
7,0.0,6.429183832319768,62.46940988577454,2024-05-03
8,0.0,6.428415685877107,62.4694740383631,2024-05-03
9,0.0,6.430589377097678,62.4695852671264,2024-05-03
10,0.0,6.429776220754677,62.46966595639687,2024-05-03
11,0.0,6.431999301662282,62.469763280067,2024-05-03
12,0.0,6.431185406308067,62.46984009047796,2024-05-03
13,0.0,6.433410702755534,62.46998305374003,2024-05-03
14,0.0,6.432610969470076,62.47004272857935,2024-05-03
15,0.0,6.434875405407311,62.470237943248684,2024-05-03
16,0.0,6.434008760620895,62.4702909601266,2024-05-03
17,0.0,6.436404276190664,62.47052369677817,2024-05-03
18,0.0,6.435467183477595,62.47058011354226,2024-05-03
19,0.0,6.423727357300431,62.46962019306437,2024-05-03
20,0.0,6.424478662318849,62.469370369667104,2024-05-03
21,0.0,6.4211688273102085,62.469530475022836,2024-05-03
22,0.0,6.411834746956872,62.46693513914792,2024-05-03
23,0.0,6.407546722921701,62.46751815178897,2024-05-03
24,0.0,6.406895701591401,62.467792263295074,2024-05-03
25,0.0,6.406273305817276,62.467753901774834,2024-05-03
26,0.0,6.408879952445463,62.46732458563086,2024-05-03
27,0.0,6.408217775721782,62.467581578508735,2024-05-03
28,0.0,6.410268981952398,62.467151367398266,2024-05-03
29,0.0,6.40959675599241,62.467407494763556,2024-05-03
30,0.0,6.410900720798498,62.46722875739551,2024-05-03
31,0.0,6.42212014904928,62.46972706501188,2024-05-03
32,0.0,6.4135796522926425,62.46708330378592,2024-05-03
33,0.0,6.416319738698649,62.46910385612558,2024-05-03
34,0.0,6.415098929798205,62.46924295315004,2024-05-03
35,0.0,6.4143877538620115,62.46881984809789,2024-05-03
36,0.0,6.417861610575954,62.46941764561533,2024-05-03
37,0.0,6.417017115028493,62.46949059841622,2024-05-03
38,0.0,6.42289853508687,62.469459955753585,2024-05-03
39,0.0,6.437959489633636,62.470791621165986,2024-05-03
40,0.0,6.442143117636336,62.471310160318296,2024-05-03
41,0.0,6.477026342024075,62.47489859566285,2024-05-03
42,0.0,6.441301777880652,62.471480690880504,2024-05-03
43,0.0,6.461941840371449,62.47298789382734,2024-05-03
44,0.0,6.461146638020679,62.4731514301396,2024-05-03
45,0.0,6.463458372058849,62.47332642072354,2024-05-03
46,0.0,6.462705891826998,62.47336643030315,2024-05-03
47,0.0,6.465100251614061,62.473595825411174,2024-05-03
48,0.0,6.464036411808794,62.47368009252547,2024-05-03
49,0.0,6.466850911706621,62.473828535246554,2024-05-03
50,0.0,6.465703929775707,62.473946780605544,2024-05-03
51,0.0,6.468415567832011,62.47405436912474,2024-05-03
52,0.0,6.467577081498507,62.47422654465308,2024-05-03
53,0.0,6.469350518075857,62.47421390039327,2024-05-03
54,0.0,6.4708752277971815,62.47448496758196,2024-05-03
55,0.0,6.469650059716355,62.47452454332812,2024-05-03
56,0.0,6.4744796947063135,62.474788860141395,2024-05-03
57,0.0,6.473908555713687,62.47503506906162,2024-05-03
58,0.0,6.472956267671478,62.47500343240478,2024-05-03
59,0.0,6.472544699348665,62.47477319659936,2024-05-03
60,0.0,6.451609193032288,62.47226753079084,2024-05-03
61,0.0,6.452377714668558,62.472270862512325,2024-05-03
62,0.0,6.459553783525693,62.47349346386767,2024-05-03
63,0.0,6.4486714693407485,62.471621709188895,2024-05-03
64,0.0,6.440707402583624,62.4713135469033,2024-05-03
65,0.0,6.443837006875588,62.47141453425704,2024-05-03
66,0.0,6.442894367113953,62.471587439300656,2024-05-03
67,0.0,6.44553629159282,62.47151934190321,2024-05-03
68,0.0,6.444597663359108,62.47170894739978,2024-05-03
69,0.0,6.447178222017099,62.47157265372501,2024-05-03
70,0.0,6.446287630857999,62.47177132634305,2024-05-03
71,0.0,6.44790035674291,62.47178870468603,2024-05-03
72,0.0,6.460296561927265,62.47302312395007,2024-05-03
73,0.0,6.449917361921213,62.471665892040654,2024-05-03
74,0.0,6.449196729622456,62.47175618373319,2024-05-03
75,0.0,6.451086070588781,62.471919748427545,2024-05-03
76,0.0,6.450532914541535,62.471933999722864,2024-05-03
77,0.0,6.458322152173895,62.47334037504925,2024-05-03
78,0.0,6.457590845005858,62.47371469670862,2024-05-03
79,0.0,6.456195973407597,62.47346078312797,2024-05-03
80,0.0,6.402704999066781,62.46796132843625,2024-05-03
81,0.0,6.395956182360178,62.46727032913259,2024-05-03
82,0.0,6.47965076033081,62.481129396331696,2024-05-03
83,0.0,6.405415155064446,62.469596977072605,2024-05-03
84,0.0,6.437979854582275,62.475095210366305,2024-05-03
85,0.0,6.438880145132012,62.474693891067,2024-05-03
86,0.0,6.440018746980203,62.47491769742665,2024-05-03
87,0.0,6.43610457848377,62.47519668830222,2024-05-03
88,0.0,6.436999186400625,62.47489459555007,2024-05-03
89,0.0,6.434222954567975,62.47521015821645,2024-05-03
90,0.0,6.43515645699161,62.47494232143134,2024-05-03
91,0.0,6.432452894294037,62.47523317365466,2024-05-03
92,0.0,6.433396251059965,62.474987339051424,2024-05-03
93,0.0,6.533533817356982,62.479700664464,2024-05-03
94,0.0,6.534333510856334,62.47978060717217,2024-05-03
