,Uncertainty,Lat,Lon
0,-241.44856986597114,62.48220794371564,6.563101630797064
1,-241.4867775771796,62.48171661077249,6.561985184164177
2,-241.48085392761723,62.48147928998428,6.563243337706595
3,-241.46922445256166,62.482225756515035,6.564297245001024
4,-241.42972562900047,62.482867741613696,6.563393917998033
5,-241.44875082057277,62.47942551244214,6.542619940681204
6,-241.44957677815,62.47996974670039,6.541746965202643
7,-241.51474573399034,62.47934907457424,6.54114016351405
8,-241.3898613586645,62.47954401170326,6.545376883165427
9,-241.55848807580654,62.48009478108344,6.544673606370321
10,-241.4187849777507,62.479498691892985,6.544062322293599
11,-241.5666703088217,62.48003827957018,6.543235136635841
12,-241.4384788230909,62.47953299999999,6.5465767
13,-241.5508221336596,62.48010449981048,6.5460344979077725
14,-241.4465448363198,62.47949147336862,6.547989088340537
15,-241.57515368862997,62.48007571884911,6.547420930589247
16,-241.46131980888578,62.479880561898334,6.540088887886587
17,-241.58706394928336,62.47921223086891,6.5399957076823645
18,-241.49030522904755,62.479415999999986,6.5491916
19,-241.5441214574598,62.48001412273628,6.5488027577712264
